Country;Frequency Range;Allocations;Applications
"Sweden (PTS)";"78.83125 - 78.84375 MHz";"RTJ Vänersborg, Vargön - Vänersborg - K:67";"#FF0091"
"Sweden (PTS)";"78.85625 - 78.86875 MHz";"Räddningstjänst Skara/ Götene - Skara - K:69";"#FF0091"
"Sweden (PTS)";"78.88125 - 78.89375 MHz";"Ambulans O-län Södra - Hela länet - K:71";"#FF0091"
"Sweden (PTS)";"78.90625 - 78.91875 MHz";"Utlarmning räddningstjänst O-län - Kungälv - K:73";"#FF0091"
"Sweden (PTS)";"78.93125 - 78.94375 MHz";"Ambulans Skaraborg (mer ...) - Hela länet - K:75";"#FF0091"
"Sweden (PTS)";"78.95625 - 78.96875 MHz";"Räddningstjänst - Alingsås - K:77";"#FF0091"
"Sweden (PTS)";"79.03125 - 79.04375 MHz";"Brämhults teleservice Sim Riks - Borås";"#FFFFFF"
"Sweden (PTS)";"79.55625 - 79.56875 MHz";"Räddningstj. framkörning - Skövde - K:44";"#FF0091"
"Sweden (PTS)";"79.68125 - 79.69375 MHz";"Framkörning brand - Kungälv - K:54";"#FF0091"
"Sweden (PTS)";"79.73125 - 79.74375 MHz";"Tullverket - Hela länet - K:58";"#FF0091"
"Sweden (PTS)";"80.625 - 82.475 MHz";"PMR (ECC/DEC/(19)02, Duplex: 75,625 - 77,475)";"#4545FF"
"Sweden (PTS)";"82.475 - 87.5 MHz";"PMR (ECC/DEC/(19)02)";"#4545FF"
"Sweden (PTS)";"84.25625 - 84.26875 MHz";"Radio skog - Lilla edet - 84.7125";"#DBFFEC"
"Sweden (PTS)";"84.28125 - 84.29375 MHz";"Radio skog. Hedekas - Uddevalla - 84.8375";"#DBFFEC"
"Sweden (PTS)";"84.35625 - 84.36875 MHz";"Radio skog. Mösseberget - Falköping - 84.9125";"#DBFFEC"
"Sweden (PTS)";"86.03125 - 86.04375 MHz";"Radio skog - Skövde - 86.6875";"#DBFFEC"
"Sweden (PTS)";"86.10625 - 86.11875 MHz";"Borås Bilfrakt AB - Borås";"#91FF00"
"Sweden (PTS)";"86.20625 - 86.21875 MHz";"Radio skog. Askeberga - Askeberga - 86.7625";"#DBFFEC"
"Sweden (PTS)";"86.25625 - 86.26875 MHz";"Radio skog. Lanna - Värnamo - 86.8125";"#DBFFEC"
"Sweden (PTS)";"86.28125 - 86.29375 MHz";"Radio skog - Bäckefors - 86.8375";"#DBFFEC"
"Sweden (PTS)";"86.30625 - 86.31875 MHz";"Radio skog. Varvshult (Borås) - Borås - 86.8625";"#DBFFEC"
"Sweden (PTS)";"87.5 - 108 MHz";"FM analog ljudradio (Band II, GE84)";"#00FF9A"
